datetime,cartPos,cartVel,pendPos,pendVel,action,cartController,exploration
38:05.6,319.24,0,2,0,0,Gamepad,0
38:05.6,319.24,0,2,0,0,Gamepad,0
38:05.6,319.24,0,2,0,0,Gamepad,0
38:05.7,319.24,0,2,0,0,Gamepad,0
38:05.7,323.37,4.13,3,1,0,Gamepad,0
38:05.7,323.37,0,3,0,0,Gamepad,0
38:05.7,323.37,0,3,0,0,Gamepad,0
38:05.7,319.24,-4.13,4,1,0,Gamepad,0
38:05.8,319.24,0,4,0,0,Gamepad,0
38:05.8,319.24,0,5,1,0,Gamepad,0
38:05.8,319.24,0,5,0,0,Gamepad,0
38:05.8,323.37,4.13,6,1,0,Gamepad,0
38:05.8,319.24,-4.13,7,1,0,Gamepad,0
38:05.9,319.24,0,8,1,0,Gamepad,0
38:05.9,319.24,0,8,0,0,Gamepad,0
38:05.9,319.24,0,10,2,0,Gamepad,0
38:05.9,319.24,0,11,1,0,Gamepad,0
38:05.9,319.24,0,12,1,0,Gamepad,0
38:06.0,319.24,0,14,2,0,Gamepad,0
38:06.0,319.24,0,16,2,0,Gamepad,0
38:06.0,319.24,0,18,2,0,Gamepad,0
38:06.0,319.24,0,21,3,0,Gamepad,0
38:06.0,319.24,0,24,3,0,Gamepad,0
38:06.1,319.24,0,27,3,0,Gamepad,0
38:06.1,319.24,0,32,5,0,Gamepad,0
38:06.1,323.37,4.13,36,4,0,Gamepad,0
38:06.1,323.37,0,42,6,0,Gamepad,0
38:06.1,323.37,0,48,6,0,Gamepad,0
38:06.2,319.24,-4.13,55,7,0,Gamepad,0
38:06.2,319.24,0,63,8,0,Gamepad,0
38:06.2,319.24,0,72,9,0,Gamepad,0
38:06.2,319.24,0,82,10,0,Gamepad,0
38:06.2,319.24,0,94,12,0,Gamepad,0
38:06.3,319.24,0,106,12,0,Gamepad,0
38:06.3,319.24,0,120,14,0,Gamepad,0
38:06.3,319.24,0,135,15,0,Gamepad,0
38:06.3,319.24,0,150,15,0,Gamepad,0
38:06.3,319.24,0,166,16,0,Gamepad,0
38:06.4,319.24,0,182,16,0,Gamepad,0
38:06.4,319.24,0,199,17,0,Gamepad,0
38:06.4,319.24,0,214,15,0,Gamepad,0
38:06.4,319.24,0,229,15,0,Gamepad,0
38:06.4,323.37,4.13,243,14,0,Gamepad,0
38:06.5,323.37,0,256,13,0,Gamepad,0
38:06.5,319.24,-4.13,267,11,0,Gamepad,0
38:06.5,319.24,0,277,10,0,Gamepad,0
38:06.5,319.24,0,286,9,0,Gamepad,0
38:06.5,319.24,0,293,7,0,Gamepad,0
38:06.6,319.24,0,299,6,0,Gamepad,0
38:06.6,319.24,0,304,5,0,Gamepad,0
38:06.6,319.24,0,308,4,0,Gamepad,0
38:06.6,319.24,0,311,3,0,Gamepad,0
38:06.6,318.9,-0.34,313,2,0,Gamepad,0
38:06.7,318.9,0,313,0,0,Gamepad,0
38:06.7,318.9,0,313,0,0,Gamepad,0
38:06.7,318.9,0,311,-2,0,Gamepad,0
38:06.7,318.9,0,309,-2,0,Gamepad,0
